Year,China (millions),Europe (millions),United States (millions),Rest of the World (millions),Total (millions)
2005,0,0,0,0,0
2006,0,0,0,0,0
2007,0,0,0,0,0
2008,0,0,0,0,0
2009,0.01,0.01,0.01,0,0.03
2010,0.01,0.02,0.02,0.01,0.06
2011,0.03,0.04,0.03,0.01,0.11
2012,0.07,0.08,0.05,0.02,0.22
2013,0.12,0.13,0.07,0.03,0.35
2014,0.2,0.2,0.1,0.05,0.55
2015,0.6,0.3,0.4,0.1,1.4
2016,0.9,0.5,0.4,0.1,1.9
2017,1.4,0.9,0.7,0.2,3.2
2018,2.3,1.5,1,0.3,5.1
2019,3.4,2.1,1.3,0.4,7.2
2020,4.51,3.16,1.78,0.75,10.2
2021,6.5,4,2.3,1,13.8
2022,8.5,5,3,1.2,17.7
2023,10.5,6.5,3.5,1.5,22
2024,13,8,4,1.7,26.7
2025,15.5,9.5,4.5,2,31.5
